,abv,translate
0,2b,to be
1,im, i am
2,didnt, did not
3,abs,abdominals
4,abt,about
6,afaik,as far as i know
7,afk,away from keyboard
8,aka,also known as
10,a.k.a,also known as
11,aml,all my love
12,anon,anonymous
13,anws,answer
14,aob,any other business
15,asafp,as soon as fucking possible
16,asap,as soon as possible
17,atm,at the moment
18,aws,as we speak
19,b4,before
20,b.c.,before christ
21,bac,back at computer
22,bae,before anyone else
23,bbiaf,be back in a few
24,bbq,barbecue
25,bbw,big beautiful woman
26,bc,because
27,bf,boyfriend
28,bg,bad game
29,bo,best of
30,brb,be right back
31,bs,bullshit
32,btw,by the way
33,byob,bring your own boozebring your own bottle
34,cause,because
35,cuz,because
36,cba,can't be arsed
37,cm,call me
38,cul,see you later
39,cut,see you tomorrow
40,cya,see you later 
41,cya,cover your ass
42,dc,disconnection
43,dl,download
44,diy,do it yourself
45,dm,direct message
46,dw,don't worry
47,dyt,don’t you think
48,e.g.,exempli gratia
49,eob,end of business day
50,evry1,everyone
51,ez,easy
52,ff,forfeit
53,ffs,for fuck's sake
54,fo,fuck off
55,ftw,for the win
56,fu,fuck youfucked up
57,fye,for your entertainment
58,fyi,for your information
59,g2g,got to go
60,gf,girlfriend
61,gfn, go for now
62,gg,good game
63,gj,good job
64,gl,good luck
65,gtg, got to go
66,gtfo,get the fuck out
67,gz,congratulations 
99,gr8,great
68,hbu,how 
69,wbu,how 
70,hf,have fun
71,hmp,help me please
72,hq,headquarter
73,ht,hi there
74,iac,in any case
75,ic,i see
76,idc,i don’t care
77,idgaf,i don’t give a fuck
78,idk,i don’t know
79,i.e.,id est
80,iha,i hate
81,iinm,if i’m not mistaken
82,iirc,if i remember correctly
83,ikr,i know right
84,ily,i love you
85,imo,in my opinion
86,imho,in my honest
87,irl,in real life
88,jk,just kidding
89,kys,kill yourself
90,l8r,later
91,lf,looking for
92,lmao,laughing my ass off
93,lmc,let me see
94,lmfao,laughing my fucking ass off
95,lol,laugh out loud
96,lolol,laugh out loud
97,luv,love
98,mb,my bad
99,milf,mother i’d like to fuck
100,n.b.,nota bene
101,ngl,not gonna lie
102,nm,nothing much
103,np,no problem
104,nvm,nevermind
105,nw,no worries
106,omg,oh my god!
107,omfg,oh my fucking god!
108,omw,on my way
109,oom,out of mana
110,op,overpowered
111,ost,original soundtrack
112,pls,please
113,plz,please
116,pm,private message
118,roflas,rolling on floor laughing and screaming
119,rofl,rolling on the floor laughing
120,roflmao,roll on floor laughing my ass off
121,rgds,regards
122,rip,rest in peace 
123,rumof,are you male or female?
124,smd,suck my dick
125,smh,shaking my head
126,soab,son of a bitch
127,ss,miss
128,stfu,shut the fuck up
129,sup,what’s up
130,tbh,to be honest
131,tm,trust me
132,ttyl,talk to you later
133,ty,thank you 
134,thx,thank you 
135,tysm,thank you 
136,u2,you too
137,ur,your
139,wb,welcome back
140,wbmbf,wanna be my boy friend
141,wbmgf,wanna be my girl friend
142,wd,well done
143,wdym,what do you mean
144,w/e,week end
145,w/e,whatever
146,wtf,what 
147,wth,what 
148,wp,well played
149,wu,what’s up
150,wuu2,what 
151,wuut,what 
152,wuwh,wish you were here
153,wyd,what 
154,wud,what 
155,xoxoxo,kisses and hugs
155,xoxo,kisses and hugs
155,xo,kisses and hugs
155,xx,kisses and hugs
155,xxx,kisses and hugs
156,ya,you
157,u,you
158,ybl,you’ll be sorry
159,yolo,you only live once
160,yw,you’re welcome
161,r,are
162,hahaha,haha
163,hahahaha,haha
164,ahah,haha
165,ahahah,haha
166,ahahahah,haha

